Role,Username,Repo Name,Repo URL,Languages,Stargazers,Contributors,Subscribers,Pulls,Commits,Size,Followers,Following,kmeans_N,labels
Data Scientist,JayKimBravekjh,ABiViRNet,https://github.com/JayKimBravekjh/ABiViRNet,"Python, Jupyter Notebook, Shell",0,2,2,0,0,294,76,11,0,0
Data Scientist,JayKimBravekjh,academy,https://github.com/JayKimBravekjh/academy,"Jupyter Notebook, Python, Shell, Makefile",0,6,1,0,0,108702,76,11,0,0
Data Scientist,JayKimBravekjh,acai,https://github.com/JayKimBravekjh/acai,"Python, Jupyter Notebook, Shell",0,1,2,0,0,46,76,11,0,0
Data Scientist,JayKimBravekjh,ActionAI,https://github.com/JayKimBravekjh/ActionAI,Python,0,3,2,0,0,209166,76,11,0,0
Data Scientist,JayKimBravekjh,active-learning,https://github.com/JayKimBravekjh/active-learning,Python,0,1,2,0,0,49,76,11,0,0
Data Scientist,JayKimBravekjh,Actor-Critic,https://github.com/JayKimBravekjh/Actor-Critic,Python,0,1,2,0,0,2215,76,11,0,0
Data Scientist,JayKimBravekjh,adanet,https://github.com/JayKimBravekjh/adanet,"Python, Jupyter Notebook, Shell",0,5,3,0,0,491,76,11,0,0
Data Scientist,JayKimBravekjh,adgm,https://github.com/JayKimBravekjh/adgm,Python,0,1,4,0,0,105,76,11,0,0
Data Scientist,JayKimBravekjh,adlfs,https://github.com/JayKimBravekjh/adlfs,"Python, Dockerfile",0,10,1,0,0,380,76,11,0,0
Data Scientist,JayKimBravekjh,Adversarial-AutoEncoder,https://github.com/JayKimBravekjh/Adversarial-AutoEncoder,Python,0,1,3,0,0,4605,76,11,0,0
Data Scientist,JayKimBravekjh,ai-economist,https://github.com/JayKimBravekjh/ai-economist,"Python, Jupyter Notebook, Shell",0,2,2,0,0,373,76,11,0,0
Data Scientist,JayKimBravekjh,airflow,https://github.com/JayKimBravekjh/airflow,"Python, HTML, Shell, JavaScript, Dockerfile, CSS, Mako",0,30,1,0,0,37604,76,11,8,0
Data Scientist,JayKimBravekjh,airflow-training,https://github.com/JayKimBravekjh/airflow-training,"Python, Shell",0,1,1,0,0,5499,76,11,0,0
Data Scientist,JayKimBravekjh,airflow-training-skeleton,https://github.com/JayKimBravekjh/airflow-training-skeleton,Python,0,5,1,0,0,878,76,11,0,0
Data Scientist,JayKimBravekjh,AI_Curriculum,https://github.com/JayKimBravekjh/AI_Curriculum,,0,1,1,0,0,3481,76,11,0,0
Data Scientist,JayKimBravekjh,ALAE,https://github.com/JayKimBravekjh/ALAE,Python,0,4,2,0,0,213029,76,11,0,0
Data Scientist,JayKimBravekjh,alchemy_dir_analyzer,https://github.com/JayKimBravekjh/alchemy_dir_analyzer,Python,0,1,1,0,0,14,76,11,0,0
Data Scientist,JayKimBravekjh,AlJazari,https://github.com/JayKimBravekjh/AlJazari,"Java, MATLAB, CMake, C++",0,1,1,0,0,1577,76,11,0,0
Data Scientist,JayKimBravekjh,allennlp,https://github.com/JayKimBravekjh/allennlp,"Python, HTML, C, Perl, Jupyter Notebook, Cuda, Scilab, Shell, Dockerfile, Makefile",0,30,3,0,0,53791,76,11,8,0
Data Scientist,JayKimBravekjh,allennlp-simple-server-visualization,https://github.com/JayKimBravekjh/allennlp-simple-server-visualization,,0,2,2,0,0,155,76,11,0,0
Data Scientist,JayKimBravekjh,ALOCC-CVPR2018,https://github.com/JayKimBravekjh/ALOCC-CVPR2018,Python,0,1,2,0,0,74270,76,11,0,0
Data Scientist,JayKimBravekjh,alphafold,https://github.com/JayKimBravekjh/alphafold,"Python, Jupyter Notebook, Shell, Dockerfile",0,3,1,0,0,5710,76,11,0,0
Data Scientist,JayKimBravekjh,amazon-sagemaker-workshop,https://github.com/JayKimBravekjh/amazon-sagemaker-workshop,Jupyter Notebook,0,2,1,0,0,11643,76,11,0,0
Data Scientist,JayKimBravekjh,anglepy,https://github.com/JayKimBravekjh/anglepy,Python,0,1,2,0,0,544,76,11,0,0
Data Scientist,JayKimBravekjh,anomaly,https://github.com/JayKimBravekjh/anomaly,"Jupyter Notebook, TeX, Python",0,1,2,0,0,43353,76,11,0,0
Data Scientist,JayKimBravekjh,Anomaly-Detection-in-Surveillance-Videos,https://github.com/JayKimBravekjh/Anomaly-Detection-in-Surveillance-Videos,Python,0,1,2,0,0,67355,76,11,0,0
